,name,acrage,elevation,loc,url
0,6030 Pond 1,1.20,3546.0,"45.963519, -121.73846",https://wdfw.wa.gov/fishing/locations/high-lakes/6030-pond-1
1,6030 Pond 2,4.20,3573.0,"45.962394, -121.729484",https://wdfw.wa.gov/fishing/locations/high-lakes/6030-pond-2
2,88 Road Beaver Pond,0.90,3311.0,"46.168676, -121.686368",https://wdfw.wa.gov/fishing/locations/high-lakes/88-road-beaver-pond
3,Abernathy,3.20,6362.0,"48.482868, -120.510432",https://wdfw.wa.gov/fishing/locations/high-lakes/abernathy
4,Airplane,9.40,5305.0,"48.002594, -121.006674",https://wdfw.wa.gov/fishing/locations/high-lakes/airplane
5,Airplane (Snohomish County),2.00,3069.0,"47.811567, -121.734707",https://wdfw.wa.gov/fishing/locations/high-lakes/airplane-snohomish
6,Airview,4.50,7239.0,"48.928944, -120.210599",https://wdfw.wa.gov/fishing/locations/high-lakes/airview
7,AKL Pond,8.90,539.0,"47.715334, -121.867781",https://wdfw.wa.gov/fishing/locations/high-lakes/akl-pond
8,Alice,3.80,6037.0,"47.647503, -120.917521",https://wdfw.wa.gov/fishing/locations/high-lakes/alice
9,Alp,4.20,6344.0,"48.409912, -121.079249",https://wdfw.wa.gov/fishing/locations/high-lakes/alp
10,Alta Mtn Pot 1,0.50,5512.0,"47.437467, -121.325012",https://wdfw.wa.gov/fishing/locations/high-lakes/alta-mtn-pot-1
11,Alta Mtn Pot 2,1.40,5635.0,"47.437594, -121.327748",https://wdfw.wa.gov/fishing/locations/high-lakes/alta-mtn-pot-2
12,American,5.40,5268.0,"46.817884, -121.458107",https://wdfw.wa.gov/fishing/locations/high-lakes/american
13,Anderson (King County),2.10,4188.0,"47.601706, -121.48403",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson
14,Anderson (Lewis County),5.40,3867.0,"46.693699, -122.036528",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson-lewis
15,Anderson - Upper,3.30,3958.0,"46.695387, -122.032535",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson-upper
16,Anderson 1,4.30,4443.0,"48.659798, -121.595146",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson-1
17,Anderson 2,3.10,4970.0,"48.659238, -121.588592",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson-2
18,Anderson 3,1.00,4980.0,"48.65771, -121.587069",https://wdfw.wa.gov/fishing/locations/high-lakes/anderson-3
19,Angel,0.70,3638.0,"46.785108, -121.055792",https://wdfw.wa.gov/fishing/locations/high-lakes/angel
20,Angeline,183.70,4613.0,"47.570765, -121.307143",https://wdfw.wa.gov/fishing/locations/high-lakes/angeline
21,Ann Lake,18.50,5480.0,"48.506692, -120.757152",https://wdfw.wa.gov/fishing/locations/high-lakes/ann-lake
22,Anna,1.70,4755.0,"47.0046, -121.36574",https://wdfw.wa.gov/fishing/locations/high-lakes/anna
23,Annette Lake,18.40,3624.0,"47.358964, -121.474328",https://wdfw.wa.gov/fishing/locations/high-lakes/annette-lake
24,Arbuthnot,6.90,4770.0,"48.859145, -121.723004",https://wdfw.wa.gov/fishing/locations/high-lakes/arbuthnot
25,Arrowhead,10.50,4411.0,"48.432548, -121.290053",https://wdfw.wa.gov/fishing/locations/high-lakes/arrowhead
26,Art,1.60,3839.0,"46.602913, -121.607602",https://wdfw.wa.gov/fishing/locations/high-lakes/art
27,Art (Yakima County),1.60,5236.0,"46.698562, -121.357105",https://wdfw.wa.gov/fishing/locations/high-lakes/art-yakima
28,Ashland - Upper,6.10,2850.0,"48.031307, -121.7195",https://wdfw.wa.gov/fishing/locations/high-lakes/ashland-upper
29,Augusta,23.10,6858.0,"47.653492, -120.835361",https://wdfw.wa.gov/fishing/locations/high-lakes/augusta
30,Bagley - Upper,3.80,4172.0,"48.860064, -121.684465",https://wdfw.wa.gov/fishing/locations/high-lakes/bagley-upper
31,Baker (Thetis),4.70,4434.0,"47.351427, -121.301709",https://wdfw.wa.gov/fishing/locations/high-lakes/baker-thetis
32,Baker Lake,4755.30,703.0,"48.726836, -121.628304",https://wdfw.wa.gov/fishing/locations/high-lakes/baker-lake
33,Bald,2.80,3780.0,"48.526528, -121.559133",https://wdfw.wa.gov/fishing/locations/high-lakes/bald
34,Bald Mountain Pond,0.40,5026.0,"46.958115, -120.940888",https://wdfw.wa.gov/fishing/locations/high-lakes/bald-mountain-pond
35,Bald Mtn,3.20,4367.0,"48.97074, -121.957338",https://wdfw.wa.gov/fishing/locations/high-lakes/bald-mtn
36,Bald Mtn - Upper,8.70,3621.0,"48.005003, -121.666158",https://wdfw.wa.gov/fishing/locations/high-lakes/bald-mtn-upper
37,Bandana,2.30,3221.0,"48.18588, -121.77185",https://wdfw.wa.gov/fishing/locations/high-lakes/bandana
38,Bannock - Middle,6.90,5929.0,"48.260666, -120.972715",https://wdfw.wa.gov/fishing/locations/high-lakes/bannock-middle
39,Bannock - Upper,11.80,5934.0,"48.257043, -120.968671",https://wdfw.wa.gov/fishing/locations/high-lakes/bannock-upper
40,Basin,4.10,5840.0,"46.953614, -121.439368",https://wdfw.wa.gov/fishing/locations/high-lakes/basin
41,Basin (Skagit County),0.70,4152.0,"48.486438, -121.281907",https://wdfw.wa.gov/fishing/locations/high-lakes/basin-skagit
42,Bath - Lower,8.40,5581.0,"48.243365, -121.083826",https://wdfw.wa.gov/fishing/locations/high-lakes/bath-lower
43,Bath Pot 1,0.90,5634.0,"48.248745, -121.079558",https://wdfw.wa.gov/fishing/locations/high-lakes/bath-pot-1
44,Bathtub - TB 12,0.90,4707.0,"48.054632, -121.774243",https://wdfw.wa.gov/fishing/locations/high-lakes/bathtub-tb-12
45,Bathtub - TB 5,2.00,4664.0,"48.055587, -121.780008",https://wdfw.wa.gov/fishing/locations/high-lakes/bathtub-tb-5
46,Bathtub - TB 6,0.80,4671.0,"48.054603, -121.780602",https://wdfw.wa.gov/fishing/locations/high-lakes/bathtub-tb-6
47,Bathtub - TB 8,1.30,4746.0,"48.054807, -121.775853",https://wdfw.wa.gov/fishing/locations/high-lakes/bathtub-tb-8
48,Battalion,6.40,5350.0,"48.345756, -120.787952",https://wdfw.wa.gov/fishing/locations/high-lakes/battalion
49,Bauer,1.40,6358.0,"46.850318, -121.256582",https://wdfw.wa.gov/fishing/locations/high-lakes/bauer
50,Bear,18.90,2780.0,"48.058358, -121.742891",https://wdfw.wa.gov/fishing/locations/high-lakes/bear
51,Bear (Skagit County),1.40,3709.0,"48.490203, -121.270145",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-skagit
52,Bear 1,2.50,4679.0,"47.647976, -121.485874",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-1
53,Bear Lake,3.90,4639.0,"46.726766, -121.019826",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-lake
54,Bear Lake (King County),45.80,3614.0,"47.573663, -121.394876",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-lake-king
55,Bear Lake (Skamania County),8.00,4748.0,"46.019308, -121.78936",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-skamania
56,Bear Pot 6 (Upper),0.60,4382.0,"47.564432, -121.384774",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-pot-6-upper
57,Bear Tracks,1.10,3890.0,"48.187535, -121.696562",https://wdfw.wa.gov/fishing/locations/high-lakes/bear-tracks
58,Bearpaw Mtn,5.90,4425.0,"48.951348, -121.841096",https://wdfw.wa.gov/fishing/locations/high-lakes/bearpaw-mtn
59,Beaver,8.80,5512.0,"48.465466, -119.86681",https://wdfw.wa.gov/fishing/locations/high-lakes/beaver
60,Beaver Plant,3.40,2826.0,"48.030986, -121.712913",https://wdfw.wa.gov/fishing/locations/high-lakes/beaver-plant
61,Beaver Pond - L50203,0.70,416.0,"47.92423, -121.930712",https://wdfw.wa.gov/fishing/locations/high-lakes/beaver-pond-l50203
62,Beaver Trail Pond,2.30,906.0,"48.208038, -121.962143",https://wdfw.wa.gov/fishing/locations/high-lakes/beaver-trail-pond
63,Bee,1.80,4356.0,"48.3898, -121.414745",https://wdfw.wa.gov/fishing/locations/high-lakes/bee
64,Beehive Reservoir,13.20,4247.0,"47.326567, -120.399643",https://wdfw.wa.gov/fishing/locations/high-lakes/beehive-reservoir
65,Bench,2.90,4185.0,"47.656379, -121.501307",https://wdfw.wa.gov/fishing/locations/high-lakes/bench
66,Bengston,2.80,2639.0,"47.762853, -121.747788",https://wdfw.wa.gov/fishing/locations/high-lakes/bengston
67,Berdeen,125.60,5018.0,"48.71593, -121.464573",https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen
68,Berdeen - Lower,7.30,4473.0,"48.706932, -121.477572",https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen-lower
69,Berdeen - Upper,9.20,5067.0,"48.725722, -121.470262",https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen-upper
70,Bernice,1.60,5185.0,"46.206605, -121.591988",https://wdfw.wa.gov/fishing/locations/high-lakes/bernice
71,Bertha,2.30,4319.0,"47.755337, -121.246329",https://wdfw.wa.gov/fishing/locations/high-lakes/bertha
72,Bertha Lake Pot,0.20,4318.0,"47.755928, -121.247532",https://wdfw.wa.gov/fishing/locations/high-lakes/bertha-lake-pot
73,Bertha May Lake,19.20,4059.0,"46.69847, -121.936355",https://wdfw.wa.gov/fishing/locations/high-lakes/bertha-may-lake
74,Beulah,1.20,4267.0,"47.75974, -121.255304",https://wdfw.wa.gov/fishing/locations/high-lakes/beulah
75,Big Mosquito Lake,26.60,3896.0,"46.1279, -121.759193",https://wdfw.wa.gov/fishing/locations/high-lakes/big-mosquito-lake
76,Big Twin Lake,65.40,1803.0,"48.446238, -120.194755",https://wdfw.wa.gov/fishing/locations/high-lakes/big-twin-lake
77,Bill,2.00,5118.0,"46.718477, -121.38808",https://wdfw.wa.gov/fishing/locations/high-lakes/bill
78,Bishop - Upper,1.10,4590.0,"46.427565, -121.711601",https://wdfw.wa.gov/fishing/locations/high-lakes/bishop-upper
79,Bishop Ridge Pond,1.80,4271.0,"46.43143, -121.703851",https://wdfw.wa.gov/fishing/locations/high-lakes/bishop-ridge-pond
80,Black,24.50,1217.0,"47.645811, -121.727763",https://wdfw.wa.gov/fishing/locations/high-lakes/black
81,Black Lake,18.30,3424.0,"47.303782, -120.334751",https://wdfw.wa.gov/fishing/locations/high-lakes/black-lake-chelan2
82,Black Pine Lake,13.40,4015.0,"48.311182, -120.277515",https://wdfw.wa.gov/fishing/locations/high-lakes/black-pine-lake
83,Blanca,160.10,3976.0,"47.940573, -121.34106",https://wdfw.wa.gov/fishing/locations/high-lakes/blanca
84,Blankenship - East,7.80,5234.0,"46.722047, -121.333057",https://wdfw.wa.gov/fishing/locations/high-lakes/blankenship-east
85,Blankenship - North,3.70,5272.0,"46.723511, -121.33679",https://wdfw.wa.gov/fishing/locations/high-lakes/blankenship-north
86,Blankenship - South,5.80,5269.0,"46.721147, -121.337106",https://wdfw.wa.gov/fishing/locations/high-lakes/blankenship-south
87,Blankenship Pot 26,1.70,4990.0,"46.719922, -121.316893",https://wdfw.wa.gov/fishing/locations/high-lakes/blankenship-pot-26
88,Blazer,6.20,4064.0,"47.427812, -121.535634",https://wdfw.wa.gov/fishing/locations/high-lakes/blazer
89,Blethen - Lower,7.90,3190.0,"47.572801, -121.606111",https://wdfw.wa.gov/fishing/locations/high-lakes/blethen-lower
90,Blethen - Upper,3.00,3675.0,"47.56809, -121.61071",https://wdfw.wa.gov/fishing/locations/high-lakes/blethen-upper
91,Blethen Pond - West,0.50,3714.0,"47.567907, -121.613382",https://wdfw.wa.gov/fishing/locations/high-lakes/blethen-pond-west
92,Blethen Pot,1.50,3636.0,"47.568167, -121.592734",https://wdfw.wa.gov/fishing/locations/high-lakes/blethen-pot
93,Blisses Pond,0.30,1509.0,"47.753141, -121.667385",https://wdfw.wa.gov/fishing/locations/high-lakes/blisses-pond
94,Blue,14.40,6259.0,"48.5059, -120.670502",https://wdfw.wa.gov/fishing/locations/high-lakes/blue
95,Blue (Skamania County),4.50,379.0,"45.674694, -121.932942",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-skamania2
96,Blue (Skamania County),12.90,4557.0,"46.240613, -121.861766",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-skamania3
97,Blue (Snohomish County),18.70,5629.0,"47.990263, -121.16928",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-snohomish
98,Blue (Whatcom County),12.20,3984.0,"48.646984, -121.792541",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-whatcom
99,Blue (Yakima County),3.30,6228.0,"46.552283, -121.202296",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-yakima
100,Blue - Little,2.60,5180.0,"47.985617, -121.176983",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-little
101,Blue Lake,19.80,2585.0,"48.566949, -119.612742",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-lake-okanogan
102,Blue Lake (Lewis County),121.70,4062.0,"46.39737, -121.700618",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-lake-lewis
103,Blue Lake Big (Skamania County),11.80,4628.0,"45.984383, -121.797779",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-skamania1
104,Blue Lake Little (Skamania County),0.80,395.0,"45.675727, -121.935829",https://wdfw.wa.gov/fishing/locations/high-lakes/blue-little-skamania
105,Bluff,3.30,3846.0,"46.658904, -121.546371",https://wdfw.wa.gov/fishing/locations/high-lakes/bluff
106,Boardman,45.00,2989.0,"48.023794, -121.690222",https://wdfw.wa.gov/fishing/locations/high-lakes/boardman
107,Bob,3.30,5196.0,"47.589806, -121.064356",https://wdfw.wa.gov/fishing/locations/high-lakes/bob
108,Boner,2.40,4834.0,"47.714902, -121.485205",https://wdfw.wa.gov/fishing/locations/high-lakes/boner
109,Bonnie,7.90,4874.0,"47.565648, -121.27247",https://wdfw.wa.gov/fishing/locations/high-lakes/bonnie
110,Boulder,22.20,3710.0,"47.944404, -121.547562",https://wdfw.wa.gov/fishing/locations/high-lakes/boulder
111,Boundary,6.90,2319.0,"47.772742, -121.76077",https://wdfw.wa.gov/fishing/locations/high-lakes/boundary
112,Bowan,1.40,6500.0,"48.40821, -120.712176",https://wdfw.wa.gov/fishing/locations/high-lakes/bowan
113,Bowser,1.20,4875.0,"47.9727, -121.259695",https://wdfw.wa.gov/fishing/locations/high-lakes/bowser
114,Box Canyon,1.70,4510.0,"47.412602, -121.324422",https://wdfw.wa.gov/fishing/locations/high-lakes/box-canyon
115,Box Mtn - Lower,23.30,5064.0,"48.224075, -121.215524",https://wdfw.wa.gov/fishing/locations/high-lakes/box-mtn-lower
116,Box Mtn - Upper,4.40,5229.0,"48.222515, -121.220456",https://wdfw.wa.gov/fishing/locations/high-lakes/box-mtn-upper
117,Brader Lake,3.90,4479.0,"46.001754, -121.82044",https://wdfw.wa.gov/fishing/locations/high-lakes/brader
118,Brandmeirs Bog,0.30,1514.0,"47.777647, -121.807222",https://wdfw.wa.gov/fishing/locations/high-lakes/brandmeirs-bog
119,Brigham,3.40,5832.0,"47.670106, -120.921084",https://wdfw.wa.gov/fishing/locations/high-lakes/brigham
120,Brown,2.10,5117.0,"46.699911, -121.348719",https://wdfw.wa.gov/fishing/locations/high-lakes/brown
121,Buck,3.00,4674.0,"46.769143, -121.429287",https://wdfw.wa.gov/fishing/locations/high-lakes/buck
122,Buck Lake,6.70,3251.0,"48.604092, -120.200825",https://wdfw.wa.gov/fishing/locations/high-lakes/buck-lake
123,Buckhorn,1.20,5113.0,"47.837982, -123.113284",https://wdfw.wa.gov/fishing/locations/high-lakes/buckhorn
124,Buller,1.90,3464.0,"48.48993, -121.369668",https://wdfw.wa.gov/fishing/locations/high-lakes/buller
125,Bumping Lake,1353.50,3430.0,"46.846944, -121.331249",https://wdfw.wa.gov/fishing/locations/high-lakes/bumping-lake
126,Buried Hatchet,0.70,5230.0,"47.5049, -121.522846",https://wdfw.wa.gov/fishing/locations/high-lakes/buried-hatchet
127,Butch Evans Slough,4.70,871.0,"47.513154, -121.610336",https://wdfw.wa.gov/fishing/locations/high-lakes/butch-evans-slough
128,Butterfly,2.00,5269.0,"47.636646, -121.132898",https://wdfw.wa.gov/fishing/locations/high-lakes/butterfly
129,Byrne,48.80,5548.0,"48.111144, -121.215561",https://wdfw.wa.gov/fishing/locations/high-lakes/byrne
130,C&E Pot,2.20,5439.0,"47.723779, -120.896029",https://wdfw.wa.gov/fishing/locations/high-lakes/ce-pot
