,name,url
0,Airplane,https://wdfw.wa.gov/fishing/locations/high-lakes/airplane
1,Arrowhead,https://wdfw.wa.gov/fishing/locations/high-lakes/arrowhead
2,Bagley - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/bagley-upper
3,Baker (Thetis),https://wdfw.wa.gov/fishing/locations/high-lakes/baker-thetis
4,Bannock - Middle,https://wdfw.wa.gov/fishing/locations/high-lakes/bannock-middle
5,Bannock - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/bannock-upper
6,Bath Pot 1,https://wdfw.wa.gov/fishing/locations/high-lakes/bath-pot-1
7,Battalion,https://wdfw.wa.gov/fishing/locations/high-lakes/battalion
8,Bear,https://wdfw.wa.gov/fishing/locations/high-lakes/bear
9,Bearpaw Mtn,https://wdfw.wa.gov/fishing/locations/high-lakes/bearpaw-mtn
10,Bench,https://wdfw.wa.gov/fishing/locations/high-lakes/bench
11,Berdeen,https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen
12,Berdeen - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen-lower
13,Berdeen - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/berdeen-upper
14,Bertha,https://wdfw.wa.gov/fishing/locations/high-lakes/bertha
15,Bertha Lake Pot,https://wdfw.wa.gov/fishing/locations/high-lakes/bertha-lake-pot
16,Blanca,https://wdfw.wa.gov/fishing/locations/high-lakes/blanca
17,Blue,https://wdfw.wa.gov/fishing/locations/high-lakes/blue
18,Blue (Whatcom County),https://wdfw.wa.gov/fishing/locations/high-lakes/blue-whatcom
19,Bonnie,https://wdfw.wa.gov/fishing/locations/high-lakes/bonnie
20,Box Mtn - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/box-mtn-lower
21,Box Mtn - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/box-mtn-upper
22,Buckhorn,https://wdfw.wa.gov/fishing/locations/high-lakes/buckhorn
23,Campbell,https://wdfw.wa.gov/fishing/locations/high-lakes/campbell
24,Cedar,https://wdfw.wa.gov/fishing/locations/high-lakes/cedar
25,Chain - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/chain-lower
26,Chain - Middle,https://wdfw.wa.gov/fishing/locations/high-lakes/chain-middle
27,Chain - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/chain-upper
28,Chambers Lake,https://wdfw.wa.gov/fishing/locations/high-lakes/chambers-lake
29,Charlia Lakes 1,https://wdfw.wa.gov/fishing/locations/high-lakes/charlia-lakes-1
30,Chiwaukum,https://wdfw.wa.gov/fishing/locations/high-lakes/chiwaukum
31,Christine,https://wdfw.wa.gov/fishing/locations/high-lakes/christine
32,Constance,https://wdfw.wa.gov/fishing/locations/high-lakes/constance
33,Cooney,https://wdfw.wa.gov/fishing/locations/high-lakes/cooney
34,Coplay,https://wdfw.wa.gov/fishing/locations/high-lakes/coplay
35,Cornwell,https://wdfw.wa.gov/fishing/locations/high-lakes/cornwell
36,Cougar - Little,https://wdfw.wa.gov/fishing/locations/high-lakes/cougar-little
37,Coundly,https://wdfw.wa.gov/fishing/locations/high-lakes/coundly
38,Cup,https://wdfw.wa.gov/fishing/locations/high-lakes/cup
39,Cutthroat,https://wdfw.wa.gov/fishing/locations/high-lakes/cutthroat
40,D (Dee),https://wdfw.wa.gov/fishing/locations/high-lakes/d-dee
41,Dee Dee - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/dee-dee-lower
42,Dee Dee - Tamarack,https://wdfw.wa.gov/fishing/locations/high-lakes/dee-dee-tamarack
43,Deer 1,https://wdfw.wa.gov/fishing/locations/high-lakes/deer-1-clallam
44,Delta,https://wdfw.wa.gov/fishing/locations/high-lakes/delta
45,Dewey,https://wdfw.wa.gov/fishing/locations/high-lakes/dewey
46,Dewey - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/dewey-upper
47,Doelle - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/doelle-lower
48,Doelle - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/doelle-upper
49,Dole - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/dole-lower
50,Dole - Middle,https://wdfw.wa.gov/fishing/locations/high-lakes/dole-middle
51,Doubtful,https://wdfw.wa.gov/fishing/locations/high-lakes/doubtful
52,Dougs,https://wdfw.wa.gov/fishing/locations/high-lakes/dougs
53,Dutton - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/dutton-lower
54,Eagle,https://wdfw.wa.gov/fishing/locations/high-lakes/eagle
55,Eagle - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/eagle-lower
56,Eagle - Middle,https://wdfw.wa.gov/fishing/locations/high-lakes/eagle-middle
57,Earle,https://wdfw.wa.gov/fishing/locations/high-lakes/earle
58,East Boardman,https://wdfw.wa.gov/fishing/locations/high-lakes/east-boardman
59,EB Pot,https://wdfw.wa.gov/fishing/locations/high-lakes/eb-pot
60,Echo,https://wdfw.wa.gov/fishing/locations/high-lakes/echo
61,Embro,https://wdfw.wa.gov/fishing/locations/high-lakes/embro
62,Emerald,https://wdfw.wa.gov/fishing/locations/high-lakes/emerald
63,Enchantment No 3 (Leprechaun Lake),https://wdfw.wa.gov/fishing/locations/high-lakes/enchantment-no-3-leprechaun-lake
64,Enchantment No 5 (Inspiration Lake),https://wdfw.wa.gov/fishing/locations/high-lakes/enchantment-no-5-inspiration-lake
65,Flapjack Point Pot,https://wdfw.wa.gov/fishing/locations/high-lakes/flapjack-point-pot
66,Found,https://wdfw.wa.gov/fishing/locations/high-lakes/found
67,Gee - Little,https://wdfw.wa.gov/fishing/locations/high-lakes/gee-little
68,Gertrude,https://wdfw.wa.gov/fishing/locations/high-lakes/gertrude
69,Glory,https://wdfw.wa.gov/fishing/locations/high-lakes/glory
70,Goat,https://wdfw.wa.gov/fishing/locations/high-lakes/goat
71,Goat (Snohomish County),https://wdfw.wa.gov/fishing/locations/high-lakes/goat-snohomish
72,Grace (1),https://wdfw.wa.gov/fishing/locations/high-lakes/grace-1
73,Grace (2),https://wdfw.wa.gov/fishing/locations/high-lakes/grace-2
74,Grace (3),https://wdfw.wa.gov/fishing/locations/high-lakes/grace-3
75,Grace (4),https://wdfw.wa.gov/fishing/locations/high-lakes/grace-4
76,Grace - Lower (1),https://wdfw.wa.gov/fishing/locations/high-lakes/grace-lower-1
77,Grass,https://wdfw.wa.gov/fishing/locations/high-lakes/grass
78,Greenwood,https://wdfw.wa.gov/fishing/locations/high-lakes/greenwood
79,Gulch (2),https://wdfw.wa.gov/fishing/locations/high-lakes/gulch-2
80,Gus,https://wdfw.wa.gov/fishing/locations/high-lakes/gus
81,Gus - Little,https://wdfw.wa.gov/fishing/locations/high-lakes/gus-little
82,Halfmoon,https://wdfw.wa.gov/fishing/locations/high-lakes/halfmoon
83,Hardscrabble - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/hardscrabble-lower
84,Hardscrabble - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/hardscrabble-upper
85,Hardscrabble Pot - Lwr,https://wdfw.wa.gov/fishing/locations/high-lakes/hardscrabble-pot-lwr
86,Henskin - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/henskin-lower
87,Henskin - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/henskin-upper
88,Hozomeen (HM-2),https://wdfw.wa.gov/fishing/locations/high-lakes/hozomeen-hm-2
89,Iceberg,https://wdfw.wa.gov/fishing/locations/high-lakes/iceberg
90,Jade,https://wdfw.wa.gov/fishing/locations/high-lakes/jade
91,Jason - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/jason-lower
92,Jason - Middle,https://wdfw.wa.gov/fishing/locations/high-lakes/jason-middle
93,Jason - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/jason-upper
94,Jerry No. 1,https://wdfw.wa.gov/fishing/locations/high-lakes/jerry-no.-1
95,Jerry No. 2,https://wdfw.wa.gov/fishing/locations/high-lakes/jerry-no.-2
96,Jerry No. 3,https://wdfw.wa.gov/fishing/locations/high-lakes/jerry-no.-3
97,Jewel,https://wdfw.wa.gov/fishing/locations/high-lakes/jewel
98,Joan,https://wdfw.wa.gov/fishing/locations/high-lakes/joan
99,Joan Pot,https://wdfw.wa.gov/fishing/locations/high-lakes/joan-pot
100,Josephine - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/josephine-lower
101,Julius,https://wdfw.wa.gov/fishing/locations/high-lakes/julius
102,Kaleetan,https://wdfw.wa.gov/fishing/locations/high-lakes/kaleetan
103,Klonaqua - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/klonaqua-upper
104,Klone Lake 1,https://wdfw.wa.gov/fishing/locations/high-lakes/klone-lake-1
105,Klone Lake 2,https://wdfw.wa.gov/fishing/locations/high-lakes/klone-lake-2
106,Knox,https://wdfw.wa.gov/fishing/locations/high-lakes/knox
107,Lanham,https://wdfw.wa.gov/fishing/locations/high-lakes/lanham
108,Leonard - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/leonard-lower
109,Leonard - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/leonard-upper
110,Lichenwasser,https://wdfw.wa.gov/fishing/locations/high-lakes/lichenwasser
111,Loch Eileen,https://wdfw.wa.gov/fishing/locations/high-lakes/loch-eileen
112,Lonesome,https://wdfw.wa.gov/fishing/locations/high-lakes/lonesome
113,Long,https://wdfw.wa.gov/fishing/locations/high-lakes/long
114,Lost,https://wdfw.wa.gov/fishing/locations/high-lakes/lost
115,Lost (Pierce County),https://wdfw.wa.gov/fishing/locations/high-lakes/lost-pierce
116,Louis,https://wdfw.wa.gov/fishing/locations/high-lakes/louis
117,Lyle,https://wdfw.wa.gov/fishing/locations/high-lakes/lyle
118,Lyman,https://wdfw.wa.gov/fishing/locations/high-lakes/lyman
119,Mad,https://wdfw.wa.gov/fishing/locations/high-lakes/mad
120,Maiden,https://wdfw.wa.gov/fishing/locations/high-lakes/maiden
121,Martin - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/martin-lower
122,Merritt,https://wdfw.wa.gov/fishing/locations/high-lakes/merritt
123,Mesa,https://wdfw.wa.gov/fishing/locations/high-lakes/mesa
124,Meta,https://wdfw.wa.gov/fishing/locations/high-lakes/meta
125,Mirror,https://wdfw.wa.gov/fishing/locations/high-lakes/mirror
126,Monogram,https://wdfw.wa.gov/fishing/locations/high-lakes/monogram
127,Mosquito,https://wdfw.wa.gov/fishing/locations/high-lakes/mosquito
128,Mosquito (King County),https://wdfw.wa.gov/fishing/locations/high-lakes/mosquito-king
129,Mosquito Pothole - E,https://wdfw.wa.gov/fishing/locations/high-lakes/mosquito-pothole-e
130,Mt Fernow Pothole 3,https://wdfw.wa.gov/fishing/locations/high-lakes/mt-fernow-pothole-3
131,Murphy - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/murphy-upper
132,Myrtle,https://wdfw.wa.gov/fishing/locations/high-lakes/myrtle
133,Myrtle (King County),https://wdfw.wa.gov/fishing/locations/high-lakes/myrtle-king
134,Naneum,https://wdfw.wa.gov/fishing/locations/high-lakes/naneum
135,No Dice,https://wdfw.wa.gov/fishing/locations/high-lakes/no-dice
136,Olallie,https://wdfw.wa.gov/fishing/locations/high-lakes/olallie
137,Panorama,https://wdfw.wa.gov/fishing/locations/high-lakes/panorama
138,Phoebe,https://wdfw.wa.gov/fishing/locations/high-lakes/phoebe
139,Phoebe - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/phoebe-lower
140,Placer,https://wdfw.wa.gov/fishing/locations/high-lakes/placer
141,Pocket No. 1,https://wdfw.wa.gov/fishing/locations/high-lakes/pocket-no.-1
142,Porcupine,https://wdfw.wa.gov/fishing/locations/high-lakes/porcupine
143,Pugsley (Dans),https://wdfw.wa.gov/fishing/locations/high-lakes/pugsley-dans
144,Purvis,https://wdfw.wa.gov/fishing/locations/high-lakes/purvis
145,Rachor Creek Res,https://wdfw.wa.gov/fishing/locations/high-lakes/rachor-creek-res
146,Rainbow - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/rainbow-lower
147,Rat Creek Pond,https://wdfw.wa.gov/fishing/locations/high-lakes/rat-creek-pond
148,Robin - Lower,https://wdfw.wa.gov/fishing/locations/high-lakes/robin-lower
149,Robin - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/robin-upper
150,Rock,https://wdfw.wa.gov/fishing/locations/high-lakes/rock
151,Rock (King County),https://wdfw.wa.gov/fishing/locations/high-lakes/rock-king1
152,Ruth,https://wdfw.wa.gov/fishing/locations/high-lakes/ruth
153,Saucer,https://wdfw.wa.gov/fishing/locations/high-lakes/saucer
154,Sauer,https://wdfw.wa.gov/fishing/locations/high-lakes/sauer
155,Sheep,https://wdfw.wa.gov/fishing/locations/high-lakes/sheep
156,Sheep (Yakima County),https://wdfw.wa.gov/fishing/locations/high-lakes/sheep-yakima
157,Shield,https://wdfw.wa.gov/fishing/locations/high-lakes/shield
158,Shoestring,https://wdfw.wa.gov/fishing/locations/high-lakes/shoestring
159,Shovel,https://wdfw.wa.gov/fishing/locations/high-lakes/shovel
160,Shuksan,https://wdfw.wa.gov/fishing/locations/high-lakes/shuksan
161,Skymo,https://wdfw.wa.gov/fishing/locations/high-lakes/skymo
162,Skymo - Upper,https://wdfw.wa.gov/fishing/locations/high-lakes/skymo-upper
163,Sourdough,https://wdfw.wa.gov/fishing/locations/high-lakes/sourdough
164,South,https://wdfw.wa.gov/fishing/locations/high-lakes/south
165,South Pot 1,https://wdfw.wa.gov/fishing/locations/high-lakes/south-pot-1
166,Strawberry,https://wdfw.wa.gov/fishing/locations/high-lakes/strawberry
167,Summit (Mosquito),https://wdfw.wa.gov/fishing/locations/high-lakes/summit-mosquito
168,Theseus,https://wdfw.wa.gov/fishing/locations/high-lakes/theseus
169,Toketie,https://wdfw.wa.gov/fishing/locations/high-lakes/toketie
170,Tomyhoi,https://wdfw.wa.gov/fishing/locations/high-lakes/tomyhoi
171,Triplet No. 1 (Lower),https://wdfw.wa.gov/fishing/locations/high-lakes/triplet-no.-1-lower
172,Trout,https://wdfw.wa.gov/fishing/locations/high-lakes/trout
173,Tuck,https://wdfw.wa.gov/fishing/locations/high-lakes/tuck
174,Tuck Pot,https://wdfw.wa.gov/fishing/locations/high-lakes/tuck-pot
175,Turquoise,https://wdfw.wa.gov/fishing/locations/high-lakes/turquoise
176,Tusco Out-In Pot - Large,https://wdfw.wa.gov/fishing/locations/high-lakes/tusco-out-in-pot-large
